influencer_name,instagram_url,profile_url,niche,subscriber_count,instagram_dm,dm_word_count,dm_status,queued_at
RPM Tech Tips,https://instagram.com/rpmtechtips,https://www.youtube.com/channel/UC1nR8tgJPg6BTaMMC79VwYA,Technology,85500,I really enjoyed your breakdown of the silicon tax and mobile price hikes. Would you be open to discussing an affiliate partnership for your tech channel?,26,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Buddy Fitness Hindi,https://instagram.com/buddyfitness_,https://www.youtube.com/channel/UCMvROx_cFvpYLAqsH7JnijQ,Fitness,5040,"Hey, really enjoyed your recent resistance band workout video. I am with EDXSO and would love to discuss a potential product collaboration. Are you interested in chatting?",27,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
FITNESS JUNCTION INDIA 🇮🇳 ,https://instagram.com/fitness_junction,https://www.youtube.com/channel/UCLn6I6b2h6ska9mzj3eg0pw,Fitness,12900,"Loved your recent video on tricep form, it was super helpful. I am with EDXSO and would love to discuss a potential Brand Ambassador partnership with you.",27,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
SUPER TECHNICAL TIPS,https://instagram.com/devpaltechnical,https://www.youtube.com/channel/UC0MNbNEjQbb0gzYVFlqNqJQ,Technology,55400,Really enjoyed your recent tutorials on PhonePe and Paytm troubleshooting. I have a paid product placement opportunity that fits your channel perfectly. Interested in chatting more?,26,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Make Rich Money - Personal Finance,https://instagram.com/make.richmoney,https://www.youtube.com/channel/UC53Is6xfuMIXA96YApnzsrA,Finance,22100,Loved your take on frugal living and generational wealth. I am with EDXSO and would love to discuss a potential sponsorship for your channel. Interested?,25,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Rishika ,https://instagram.com/oxrishikaa,https://www.youtube.com/channel/UCQ-PoRZNhwVUlusP9jlmHzg,Beauty,58300,I loved your recent Deodap haul and how practical your skincare finds are. We are looking for ambassadors and would love to chat about a partnership.,26,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Simple Skincare India,https://instagram.com/simpleskincareindia,https://www.youtube.com/channel/UCzJfJLTsmRFcAwy7bk4o6pw,Beauty,12600,Loved your review of the Simple Repair Hydrating Lip Balm! We have an exciting UGC content creation opportunity for you at EDXSO. Interested in chatting?,25,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Practical Personal Finance,https://instagram.com/practical_pf,https://www.youtube.com/channel/UCjNeF9lzg7hJbQE5OtehFdA,Finance,30600,Loved your recent video on bank failures and your stock market tutorials. We would love to chat about partnering with you on an ambassador program.,25,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Personal Finance Circle ,https://instagram.com/growneeapp,https://www.youtube.com/channel/UCC_3C1KOVqQpPNStlnsFivw,Finance,13400,Loved your video on saving ₦35 million as a student! We'd love to chat about partnering for some UGC content at EDXSO. Let me know if you are interested.,29,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Personal Finance by Chandu,https://instagram.com/personalfinancebychandu,https://www.youtube.com/channel/UCsp5qFT7WU8FQUwlLSKotWw,Finance,15800,Loved your recent breakdown on software engineer salary secrets and trending IPOs. We would love to chat about a potential partnership with EDXSO.,23,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
makeupspacewithneha,https://instagram.com/makeupspacewithneha,https://www.youtube.com/channel/UC2VPWMcQ1bQZfusob9TjdGg,Beauty,48700,Loved your MAC In Your Coffee review on NC40 skin! We would love to chat about an ambassador partnership with EDXSO. Open to details?,24,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Antic Fitness India,https://instagram.com/antic_fitness_india,https://www.youtube.com/channel/UCdRUxAdk6aLASXlb64cLOJg,Fitness,56400,"Hey! Huge fan of your recent bodybuilding breakdowns, especially the Derek Lunsford video. Let's chat about a potential affiliate partnership for your channel.",23,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Hindi Tech Tips,https://instagram.com/mohd_aalm_123,https://www.youtube.com/channel/UCOfgU_R3Ont9oyPqQjkYxOA,Technology,31100,Loved your latest BGMI mythic emblem and material tricks video! We want to invite you to join the EDXSO Brand Ambassador Program. Let's chat?,24,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Deconstruct Skincare,https://instagram.com/deconstruct_skincare,https://www.youtube.com/channel/UCPBXXrn7tw20A6JldPuXEUg,Beauty,13600,I loved your recent video on SPF application techniques. Your focus on skincare science is great. Would you be open to a barter collaboration? Let me know.,27,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Energie Fitness India,https://instagram.com/energie_fitness_india,https://www.youtube.com/channel/UC-qEkY8wT8OZAUcbL8hrF3Q,Fitness,7380,Hey! Loved your recent breakdown on commercial gym equipment and budget setups. We'd love to chat about a paid UGC partnership with EDXSO. Interested?,24,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Cardio Fit by India Fitness,https://instagram.com/fitness_indiaoficial,https://www.youtube.com/channel/UCJ2e_MJaqdPmcf-FiMrZdIA,Fitness,23700,Loved your recent routine on training for better results. I am with EDXSO and would love to chat about a UGC content collaboration. Are you interested?,26,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Irshad Tech Tips,https://instagram.com/irshadtechtips,https://www.youtube.com/channel/UCL67n-5MlMrOk8N6hTMYlwg,Technology,12900,Really enjoyed your breakdown of high RPM channel ideas. I'm with EDXSO and would love to chat about potential UGC collaboration opportunities. Are you interested in discussing this?,28,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Hindi Urdu Gaming,https://instagram.com/gta_hindiurdugaming,https://www.youtube.com/channel/UC_QBOmdDek0ElJQ95NbAh0g,Gaming,86000,I really enjoyed your GTA 5 car mod tutorials. I am with EDXSO and would love to discuss a potential sponsored integration for your channel. Interested?,26,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
